subject_id,subject_version,case_id,family,run_id,reviewer_id,scoring_timestamp_utc,rubric_floor,rubric_ceiling,raw_score,clipped_score,has_critical_fail,has_recoverable_fail,classification,reported_confidence,confidence_unit,correctness
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-001,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,12,9,9,False,False,Conditional,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-002,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,12,9,9,False,False,Conditional,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-003,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,12,10,10,False,False,Pass,72,0.72,0.5
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-004,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,12,11,11,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-005,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,12,10,10,False,False,Pass,87,0.87,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-006,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,11,11,11,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-007,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,11,10,10,False,False,Pass,76,0.76,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-008,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,10,10,10,True,False,Fail,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-FOUL-009,FOUL,run-2026-05-12-001,R01,2026-05-13T10:38:10Z,0,9,12,9,False,False,Conditional,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-MECH-001,MECH,run-2026-05-13-001,R01,2026-05-14T09:34:25Z,0,12,11,11,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-MECH-002,MECH,run-2026-05-13-001,R01,2026-05-14T09:34:25Z,0,12,11,11,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-MECH-003,MECH,run-2026-05-13-001,R01,2026-05-14T09:34:25Z,0,11,11,11,False,False,Pass,87,0.87,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-MECH-004,MECH,run-2026-05-13-001,R01,2026-05-14T09:34:25Z,0,10,11,10,False,False,Pass,87,0.87,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-MECH-005,MECH,run-2026-05-13-001,R01,2026-05-14T09:34:25Z,0,11,11,11,False,False,Pass,94,0.94,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-NOWE-001,NOWE,run-2026-05-13-001,R01,2026-05-13T18:59:30Z,0,12,9,9,False,False,Conditional,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-NOWE-002,NOWE,run-2026-05-13-001,R01,2026-05-13T18:59:30Z,0,11,11,11,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-NOWE-003,NOWE,run-2026-05-13-001,R01,2026-05-13T18:59:30Z,0,10,11,10,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-NOWE-004,NOWE,run-2026-05-13-001,R01,2026-05-13T18:59:30Z,0,9,11,9,False,False,Conditional,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-001,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,4,12,12,12,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-002,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,4,12,12,12,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-003,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,4,12,12,12,False,False,Pass,94,0.94,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-004,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,4,12,12,12,False,False,Pass,87,0.87,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-005,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,4,11,10,10,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-OXID-006,OXID,run-2026-05-13-001,R01,2026-05-13T18:38:53Z,3,10,12,10,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-SCAL-001,SCAL,run-2026-05-13-001,R01,2026-05-13T18:26:10Z,0,12,11,11,False,False,Pass,82,0.82,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-SCAL-002,SCAL,run-2026-05-13-001,R01,2026-05-13T18:26:10Z,0,12,11,11,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-SCAL-003,SCAL,run-2026-05-13-001,R01,2026-05-13T18:26:10Z,0,12,10,10,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-SCAL-004,SCAL,run-2026-05-13-001,R01,2026-05-13T18:26:10Z,0,11,11,11,False,False,Pass,78,0.78,1.0
claude-haiku-4-5,claude-haiku-4-5-20251001,RO-SCAL-005,SCAL,run-2026-05-13-001,R01,2026-05-13T18:26:10Z,0,11,11,11,False,False,Pass,78,0.78,1.0
